property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,others,store room,pooja room,servant room,study room,furnishing_type,luxury_score
flat,sare homes,sector 92,1.12,5359.0,4,4,2,12.0,Relatively New,2322.0,0,0,0,1,0,0,85
flat,ats triumph,sector 104,2.62,8317.0,4,4,3+,14.0,Relatively New,2850.0,0,0,0,1,0,0,174
flat,mm heights,sector 65,2.01,13499.0,2,2,3,8.0,New Property,1482.0,0,0,0,0,1,1,44
house,independent,sector 39,0.34,7521.0,1,1,1,1.0,Relatively New,450.0,0,0,0,0,0,0,0
flat,signature global solera,sector 107,0.3,6135.0,2,2,1,5.0,Relatively New,544.0,0,0,0,0,0,0,57
flat,tulip violet,sector 69,1.55,9823.0,3,3,2,0.0,Relatively New,1428.0,0,0,1,0,0,0,129
flat,pyramid urban homes,sector 86,0.6,8000.0,3,2,2,2.0,New Property,833.0,0,0,0,0,0,0,13
flat,signature global park,sohna road,0.56,6813.0,2,2,3,3.0,New Property,913.0,0,0,0,0,0,0,81
flat,imperia the esfera,sector 37c,1.1,5405.0,3,4,3,9.0,Relatively New,1898.0,0,0,0,1,1,0,49
flat,bestech altura,sector 79,1.85,8605.0,3,4,3+,11.0,New Property,1945.0,0,0,0,1,0,1,49
flat,signature global city,sector 81,0.8,14652.0,2,2,2,4.0,Relatively New,607.0,0,0,0,0,1,1,36
flat,raheja vedaanta,sector 108,1.25,5682.0,3,2,0,0.0,Relatively New,1990.0,0,0,0,0,0,0,65
flat,ats marigold,sector 89,1.7,9714.0,3,3,3+,8.0,Under Construction,1944.0,0,0,0,0,1,0,65
house,dlf the arbour,sector 63,8.5,21517.0,4,4,3+,27.0,New Property,3950.0,0,0,0,0,0,1,61
house,emaar emerald hills,sector 65,12.5,34769.0,4,4,3+,2.0,Relatively New,3600.0,0,0,0,1,1,1,56
flat,bestech park view aindependentda,sector 81,0.88,8044.0,2,2,3,8.0,Relatively New,1223.0,0,0,0,0,1,0,95
flat,orchid petals,sector 49,1.95,9974.0,3,3,3,2.0,Old Property,1633.0,0,0,0,0,0,0,90
flat,la vida by tata housing,sector 113,1.75,10492.0,2,2,3,10.0,Relatively New,1423.0,0,0,0,0,1,1,93
flat,gls arawali homes,sohna road,0.28,4308.0,2,2,2,12.0,New Property,588.0,0,0,0,0,0,1,0
house,independent,sector 12,1.7,8491.0,5,5,3,3.0,Moderately Old,2000.0,1,0,1,0,0,1,9
flat,orris aster court premier,sector 85,1.73,6758.0,4,5,3+,8.0,Relatively New,2017.0,0,0,0,1,0,0,16
flat,tata gurgaon gateway,sector 113,1.75,10442.0,2,2,2,10.0,Relatively New,1430.0,0,0,0,0,1,1,104
flat,umang winter hills,sector 77,0.71,5306.0,2,2,2,6.0,Relatively New,1057.0,0,0,0,0,1,0,108
flat,mm woodshire,sector 107,1.65,5961.0,4,5,3+,12.0,Relatively New,2504.0,0,0,0,1,0,1,21
flat,kiran residency,sector 56,1.5,6649.0,3,5,3+,4.0,Moderately Old,2250.0,0,0,1,0,1,0,134
flat,conscient habitat,sector 99a,0.27,5602.0,2,2,1,8.0,Relatively New,538.0,1,0,0,0,0,0,49
flat,bestech park view grand spa,sector 81,2.22,8346.0,3,4,3+,15.0,Relatively New,2407.0,0,0,0,1,0,0,174
flat,unitech vistas,sector 70,0.99,6326.0,3,4,2,11.0,Under Construction,1416.0,0,0,0,0,0,1,0
house,international city by sobha phase,sector 109,5.85,26383.0,4,5,3+,2.0,Relatively New,2214.0,0,0,0,1,0,0,85
flat,bestech altura,sector 79,2.55,9533.0,4,5,2,4.0,New Property,2675.0,0,0,0,1,0,1,44
flat,ardee city,sector 52,1.55,7381.0,4,4,3,1.0,Moderately Old,2100.0,0,0,0,0,0,1,0
flat,signature andour heights,sector 71,0.55,8607.0,2,2,1,7.0,Relatively New,600.0,0,0,0,0,0,0,24
house,independent,sector 47,6.09,33677.0,12,11,3+,4.0,Moderately Old,1808.3352,0,0,1,0,0,2,44
flat,bptp astaire gardens,sector 70a,0.97,6585.0,3,3,3+,1.0,Relatively New,1339.0,1,0,0,0,0,0,149
flat,shree vardhman victoria,sector 70,1.65,8462.0,3,4,3,5.0,Relatively New,1527.0,1,0,0,1,0,0,49
flat,dlf regal gardens,sector 90,1.25,5930.0,3,3,3,18.0,Relatively New,1556.0,1,0,0,0,0,0,72
flat,shree vardhman flora,sector 90,0.65,6792.0,2,2,3,9.0,Relatively New,1050.0,0,0,0,0,1,0,67
house,spaze privy,sector 72,3.09,8468.0,5,5,3+,14.0,Relatively New,3653.0,0,0,0,1,0,0,33
flat,bptp terra,sector 37d,1.49,8107.0,3,3,3,20.0,Relatively New,1707.0,1,0,0,0,0,1,49
flat,emaar mgf emerald floors premier,sector 65,2.36,14303.0,3,3,3,2.0,Relatively New,1524.0,0,0,0,1,1,0,136
house,shivpuri,sector 7,2.4,8883.0,10,5,3,2.0,Old Property,2700.0,0,0,1,1,1,1,8
house,not applicable,sector 4,0.51,14358.0,4,4,3,4.0,New Property,360.0,0,0,0,0,0,1,0
flat,mm woodshire,sector 107,1.32,6331.0,3,3,3,10.0,Relatively New,1758.0,0,0,0,0,0,1,117
flat,mm skycity,sector 65,1.8,13699.0,2,2,3,13.0,New Property,1456.0,0,0,0,0,0,0,73
flat,godrej,sector 79,1.33,8531.0,2,2,3,6.0,Relatively New,1411.0,0,0,0,0,1,0,158
house,emaar mgf marbella,sector 66,19.0,21114.0,5,6,3+,3.0,Relatively New,6667.0,0,1,1,1,0,0,110
flat,imperia the esfera,sector 37c,0.95,5702.0,2,2,0,17.0,Under Construction,1578.0,0,0,0,1,0,0,66
flat,shapoorji pallonji joyville gurugram,sector 102,1.95,17287.0,3,3,3,12.0,New Property,1465.0,0,1,0,0,0,1,72
flat,zara aavaas,sector 104,0.4,7030.0,2,2,1,14.0,Relatively New,515.0,0,0,0,0,0,1,38
flat,orris carnation residency,sector 85,0.88,5954.0,3,3,1,1.0,Relatively New,1344.0,0,0,0,0,0,0,65
flat,antriksh heights,sector 84,0.9,4932.0,3,3,3,11.0,Relatively New,1651.0,0,0,0,0,0,0,87
flat,rof aindependentda,sector 95,0.55,8527.0,3,2,2,14.0,New Property,811.0,0,0,0,0,1,0,81
flat,mm sierra,sector 68,1.08,8675.0,2,2,3,1.0,Relatively New,1130.0,0,0,0,0,0,0,149
house,independent,sector 12,3.71,19809.0,3,3,1,4.0,Moderately Old,1872.9186,0,0,1,0,0,1,0
flat,emaar imperial gardens,sector 102,1.98,9900.0,3,3,3+,9.0,Relatively New,2222.0,0,0,0,1,0,0,72
flat,ats kocoon,sector 109,1.68,9628.0,3,3,3,8.0,Relatively New,1579.0,0,0,0,0,0,1,142
flat,surendra avenue,sector 69,0.75,6818.0,2,2,2,4.0,Moderately Old,1100.0,0,0,0,0,0,1,0
house,independent,sector 55,3.1,20000.0,5,4,3+,2.0,Moderately Old,1550.0016,0,1,0,1,0,0,59
flat,dlf the ultima,sector 81,2.28,10842.0,3,3,3+,14.0,Relatively New,1750.0,0,0,0,1,0,2,49
flat,shree vardhman flora,sector 90,0.7,5385.0,2,2,3,13.0,New Property,1176.0,0,0,0,0,1,0,15
house,independent,sector 50,13.2,27131.0,6,6,0,2.0,Moderately Old,4861.0,0,0,0,0,0,0,0
house,independent,sector 25,4.31,32033.0,5,4,3,3.0,Old Property,1345.4875,0,0,0,0,0,1,40
house,independent,sector 14,6.46,18873.0,5,5,2,3.0,Moderately Old,3422.9202,0,0,1,1,1,0,27
flat,emaar mgf emerald floors premier,sector 65,2.4,14545.0,3,3,3,3.0,Relatively New,1600.0,0,0,0,1,1,0,49
flat,godrej nature plus,sector 33,1.62,13978.0,3,4,3+,3.0,New Property,129.42,0,0,0,1,0,0,100
flat,ramprastha skyz,sector 37d,1.2,6000.0,3,2,1,9.0,Under Construction,1900.0,1,0,0,1,0,0,53
flat,adani mk oyster grande,sector 102,2.4,9306.0,3,4,3+,3.0,Relatively New,2333.0,0,0,0,0,1,0,49
house,independent,sector 23,5.65,11300.0,7,7,3+,2.0,Moderately Old,5000.0,0,0,1,1,0,1,68
flat,ansal heights,sector 86,0.9,5325.0,3,3,2,10.0,New Property,1690.0,0,0,0,0,0,1,29
flat,bestech park view residency,sector 2,0.56,8629.0,1,2,2,7.0,Moderately Old,723.0,0,0,0,0,0,1,92
flat,aipl the peaceful homes,sector 70a,2.5,10638.0,3,4,3,8.0,Relatively New,2126.0,0,1,0,1,0,0,174
flat,bestech altura,sector 79,1.85,8605.0,3,3,3,7.0,New Property,1650.0,0,0,0,1,0,1,53
flat,ashiana anmol,sohna road,0.88,11125.0,2,2,2,13.0,Relatively New,1016.0,0,0,0,0,0,2,127
house,unitech aspen greens,sector 50,12.0,37038.0,3,4,2,1.0,Moderately Old,3240.0,0,0,0,1,1,0,101
flat,silverglades the melia,sohna road,0.75,5556.0,2,2,2,4.0,Moderately Old,1350.0,0,0,0,0,0,1,70
flat,dlf the skycourt,sector 86,2.2,11500.0,3,3,1,7.0,Relatively New,1746.0,0,0,1,0,0,2,77
flat,mm soulitude,sector 89,1.42,9979.0,3,3,2,3.0,New Property,1581.0,0,0,0,0,0,0,15
house,palam vihar extension west zone rwa,sector 2,0.35,5806.0,2,2,0,1.0,New Property,600.0,0,0,0,0,0,0,0
flat,parsvnath green ville,sector 48,1.6,8377.0,3,3,3+,8.0,Old Property,1895.0,1,0,0,0,0,0,49
flat,signature global solera,sector 107,0.51,7907.0,3,2,2,9.0,Relatively New,717.0,1,0,0,0,0,0,15
flat,mm skywalk,sector 74,2.7,13380.0,3,3,3,13.0,New Property,2018.0,0,1,0,0,0,1,92
flat,signature global city,sector 37d,1.1,8494.0,3,3,2,2.0,Relatively New,1439.0,0,0,0,0,0,1,36
flat,trisara our homes,sohna road,0.34,5405.0,2,2,1,0.0,New Property,699.0,0,0,0,0,0,0,0
flat,emaar mgf the palm drive,sector 66,3.45,15682.0,3,4,3,6.0,Relatively New,2000.0,0,0,0,1,0,0,95
flat,godrej nature plus,sector 33,1.4,9333.0,2,2,3,14.0,Under Construction,1448.0,0,0,0,0,0,1,67
flat,puri diplomatic greens,sector 111,2.65,11964.0,3,4,3+,19.0,Relatively New,2004.0,0,1,1,1,1,0,65
flat,dlf new town heights,sector 86,1.26,6114.0,3,3,3,5.0,Moderately Old,1746.0,1,0,0,1,0,0,113
flat,maxworth city residences,sector 10a,0.8,6400.0,2,3,2,9.0,New Property,1389.0,0,0,0,0,0,1,46
house,independent,sector 48,8.4,25926.0,4,4,3,2.0,Old Property,3240.0,0,0,1,1,0,0,15
flat,godrej air,sector 85,1.4,10000.0,2,2,3,23.0,Relatively New,1400.0,0,0,0,0,0,0,44
flat,rof aindependentda,sector 95,0.2,5464.0,1,1,1,10.0,Relatively New,407.0,0,0,0,0,0,0,82
house,independent,sector 26,4.0,29729.0,4,4,3,2.0,Old Property,1345.4875,0,1,0,0,0,1,41
flat,hcbs sports ville,sohna road,0.2,2667.0,2,2,1,4.0,New Property,743.0,0,0,0,0,0,1,15
flat,tulip violet,sector 69,1.7,8458.0,4,4,2,10.0,Relatively New,1804.0,0,1,1,1,1,1,174
flat,adani mk oyster grande,sector 102,2.61,10046.0,3,3,3,14.0,Relatively New,2200.0,0,0,0,1,1,1,21
flat,puri diplomatic greens,sector 111,2.58,11727.0,3,4,2,9.0,Relatively New,2200.0,0,0,0,1,0,1,101
house,ats tourmaline,sector 109,1.87,8686.0,3,4,0,12.0,Relatively New,2150.0,0,0,0,0,0,0,0
flat,unitech uniworld gardens,sector 47,1.05,10532.0,2,2,2,3.0,Relatively New,1108.0,0,0,0,0,0,0,34
flat,ireo the corridors,sector 67a,1.6,9265.0,3,3,2,3.0,New Property,1346.0,0,1,0,0,0,0,142
house,independent,sector 4,3.2,14224.0,3,3,2,2.0,Old Property,2250.0,0,0,0,0,0,1,13
flat,parsvnath exotica,sector 53,6.5,19174.0,4,5,3+,10.0,Relatively New,3000.0,0,0,1,1,1,0,174
house,dlf city plots,sector 26,18.0,39816.0,6,6,2,3.0,Old Property,4518.0,1,0,1,1,0,0,49
flat,sidhartha ncr one phase,sector 95,0.43,3152.0,2,2,2,6.0,Relatively New,1300.0,0,0,0,0,0,0,120
flat,antriksh heights,sector 84,0.92,5041.0,3,3,3,2.0,Relatively New,1651.0,0,0,1,0,1,0,67
flat,bptp terra,sector 37d,1.72,9498.0,3,3,3,9.0,Relatively New,1373.0,0,0,0,0,1,0,24
flat,shree vardhman mantra,sector 67,0.56,7000.0,2,2,1,8.0,New Property,889.0,0,0,0,0,0,1,65
flat,suncity avenue,sector 76,0.55,7422.0,2,2,2,9.0,Under Construction,823.0,0,0,0,0,0,0,26
flat,ansal heights,sector 86,1.05,5541.0,3,3,3,9.0,Under Construction,1715.0,0,0,0,1,0,1,0
house,ss aaron ville,sector 49,6.75,15002.0,5,4,2,2.0,New Property,4500.0,1,0,0,0,0,0,49
flat,sobha city,sector 108,3.95,16859.0,3,5,2,15.0,New Property,2343.0,0,0,0,1,0,1,118
house,independent,sector 4,5.0,10098.0,3,3,2,1.0,Old Property,4950.0,0,0,0,0,0,1,22
house,nitin vihar,sector 33,0.85,1049.0,3,2,0,1.0,Relatively New,8100.0,0,0,0,0,0,0,15
flat,signature the serenas,sohna road,0.45,8475.0,2,2,1,10.0,New Property,590.0,0,0,0,0,0,0,23
house,independent,sector 10a,4.25,17947.0,4,3,2,1.0,Moderately Old,2367.0,0,0,0,0,0,0,0
house,independent,sector 43,14.0,39897.0,9,9,3+,4.0,Moderately Old,3510.0,0,0,0,1,0,0,7
flat,godrej nature plus,sector 33,1.1,7971.0,2,2,2,14.0,New Property,1533.0,0,0,0,0,0,1,56
house,independent,sector 1,1.85,16063.0,4,3,2,3.0,Moderately Old,1284.0,0,0,0,0,0,1,0
house,unitech uniworld resorts,sector 33,11.75,25991.0,5,7,3+,3.0,Relatively New,4518.0,0,0,0,1,0,0,80
flat,vipul lavanya,sector 81,0.6,6667.0,2,2,1,0.0,Under Construction,814.0,0,0,0,0,0,1,0
flat,ss the leaf,sector 85,2.0,6579.0,4,5,3+,1.0,Relatively New,2544.0,0,1,0,1,0,1,106
house,independent,sector 9,3.4,12946.0,9,9,3,3.0,Moderately Old,2628.0,0,0,0,0,0,0,61
flat,tulip violet,sector 69,1.42,8999.0,3,3,2,8.0,Relatively New,1428.0,0,0,1,0,0,0,94
flat,experion windchants,sector 112,5.31,11205.0,4,6,3+,15.0,Relatively New,3573.33,0,0,1,1,0,1,72
flat,puri emerald bay,sector 104,1.5,9677.0,2,2,2,7.0,Under Construction,1402.0,1,0,0,0,0,0,43
flat,shapoorji pallonji joyville gurugram,sector 102,0.97,16441.0,2,2,2,10.0,Relatively New,741.0,0,0,0,0,0,1,151
flat,parsvnath green ville,sector 48,2.5,12821.0,4,5,3,1.0,Moderately Old,2167.0,1,0,0,0,0,0,49
flat,mm woodshire,sector 107,0.98,6422.0,2,2,3,7.0,Relatively New,1281.0,0,0,0,0,1,0,174
flat,tulip violet,sector 69,1.4,8872.0,3,3,2,11.0,Relatively New,1428.0,0,0,1,0,0,1,126
flat,mapsko mount ville,sector 79,1.55,8540.0,3,4,3,11.0,Relatively New,1416.0,0,0,0,1,0,0,152
flat,kendriya vihar,sector 56,0.65,8609.0,1,1,1,0.0,Moderately Old,839.0,0,0,0,0,0,0,143
house,independent,sector 6,0.66,1198.0,3,2,1,2.0,Old Property,5508.0,0,0,0,0,0,0,36
flat,ss residency,sector 6,0.48,5333.0,3,2,2,2.0,Moderately Old,111.0,0,0,0,0,0,1,54
flat,godrej,sector 79,1.28,8505.0,3,3,3,7.0,Relatively New,1362.0,0,0,0,0,0,0,158
house,independent,sector 105,1.3,1284.0,3,3,1,2.0,Moderately Old,10125.0,0,0,0,0,0,0,16
flat,ss,sector 85,1.98,8223.0,3,4,3,6.0,Relatively New,2300.0,0,0,0,0,0,1,42
flat,conscient heritage max,sector 102,1.82,9372.0,3,4,3+,15.0,Moderately Old,1757.0,0,0,0,1,0,1,125
flat,raheja atharva,sector 109,0.79,7932.0,3,2,2,3.0,Relatively New,1212.0,0,0,0,0,0,0,44
flat,dlf belvedere towers,sector 25,3.7,17619.0,4,4,3,18.0,Old Property,2333.0,0,0,0,1,0,0,26
flat,guru gram haryana cghs,sector 56,1.39,8424.0,3,2,3,6.0,Old Property,1750.0,0,0,1,1,0,0,89
flat,shree vardhman flora,sector 90,0.64,4923.0,2,2,3,6.0,Old Property,1199.0,0,0,0,0,1,1,103
flat,tata primanti,sector 72,3.5,11427.0,4,5,3+,16.0,Relatively New,2625.0,1,0,0,1,0,1,31
flat,dlf regal gardens,sector 90,1.25,10417.0,3,3,3,18.0,Moderately Old,1437.0,0,0,0,1,0,0,100
house,independent,sector 45,10.0,30865.0,6,6,3+,4.0,Moderately Old,3240.0,0,1,1,1,1,0,70
flat,corona optus,sector 37c,1.25,8929.0,3,3,3,2.0,Relatively New,1563.0,0,0,0,0,1,0,49
flat,ansal estella,sector 103,1.5,8671.0,3,3,3+,6.0,Under Construction,1741.0,0,0,0,0,0,0,58
house,independent,sector 17a,1.52,19889.0,2,2,1,1.0,Old Property,105.0,0,0,0,0,0,1,22
flat,ansal housing highland park,sector 103,0.8,5878.0,2,2,2,9.0,Relatively New,1361.0,0,0,0,0,0,1,0
flat,signature global park,sohna road,0.9,8036.0,3,2,0,2.0,Relatively New,1120.0,0,0,0,0,0,0,58
flat,experion windchants,sector 112,5.49,11585.0,4,5,3+,5.0,Relatively New,3655.35,0,0,0,1,0,0,168
flat,dlf express greens,manesar,1.6,6809.0,4,6,3+,4.0,Relatively New,2611.0,0,0,1,1,1,0,49
house,emaar mgf marbella,sector 66,12.0,37038.0,5,5,3+,3.0,New Property,3240.0,0,1,1,1,0,0,106
flat,bestech park view sanskruti,sector 92,1.5,7812.0,3,3,3,3.0,Relatively New,1737.0,1,0,0,0,0,0,49
flat,ansal api celebrity suites,sector 2,0.6,8163.0,1,1,1,5.0,Moderately Old,665.0,0,0,0,0,0,0,67
flat,bptp freedom park life,sector 57,5.5,8983.0,5,6,3+,19.0,Moderately Old,5010.0,0,0,1,1,0,0,153
flat,assotech blith,sector 99,0.92,6740.0,2,2,3+,22.0,Under Construction,1235.0,0,0,0,0,0,1,56
flat,emaar mgf emerald floors premier,sector 65,2.75,13924.0,4,4,3,3.0,Relatively New,1975.0,0,0,0,1,1,0,113
flat,ats triumph,sector 104,2.5,7937.0,4,4,3+,14.0,New Property,2850.0,0,0,0,1,0,0,21
house,independent,sector 24,1.45,26942.0,3,3,1,2.0,Old Property,540.0,0,0,0,0,0,0,9
flat,green court,sector 90,0.47,6812.0,2,2,1,0.0,New Property,767.0,0,0,0,0,0,1,49
house,unitech uniworld resorts,sector 33,9.5,21114.0,5,7,3+,2.0,Relatively New,4500.0,0,1,1,1,1,0,57
flat,la vida by tata housing,sector 113,2.33,11106.0,3,3,3,3.0,New Property,2098.0,0,0,0,1,0,1,174
house,independent,sector 43,8.5,31461.0,5,5,3,3.0,Moderately Old,2700.0,0,0,0,1,0,0,113
flat,sare crescent parc,sector 92,1.44,7069.0,4,4,3,8.0,Relatively New,2267.0,0,0,0,0,0,1,37
house,vipul tatvam villa,sector 48,22.0,24448.0,5,6,3,3.0,Moderately Old,9000.0,0,0,0,1,0,1,54
flat,krrish florence estate,sector 70,1.65,7765.0,3,4,3+,27.0,New Property,1923.0,0,0,0,1,1,0,81
flat,kashish manor one,sector 111,1.65,7097.0,3,4,3+,14.0,Under Construction,2104.0,1,0,0,1,0,1,8
house,ashok vihar phase gurgaon,sector 5,0.95,987.0,4,3,2,1.0,Old Property,9630.0,0,0,0,0,0,0,8
flat,signature global synera,sector 81,0.38,9500.0,1,1,2,3.0,Relatively New,444.0,0,0,0,0,0,0,43
house,independent,sector 45,4.49,24394.0,9,9,3+,3.0,Moderately Old,1840.6269,1,0,0,0,0,0,90
house,independent,sector 25,9.9,29291.0,5,5,2,2.0,Moderately Old,3375.0,0,0,1,0,0,0,106
flat,aipl zen residences,sector 70a,1.34,10276.0,2,2,3+,17.0,New Property,1180.0,0,0,0,0,0,0,110
flat,mm woodshire,sector 107,0.75,5490.0,2,2,3+,14.0,Relatively New,1201.0,0,0,1,0,0,1,174
flat,dlf new town heights,sector 91,2.0,6966.0,4,4,3+,16.0,Moderately Old,2467.0,0,0,1,1,1,0,65
flat,mm capital,sector 113,2.87,12489.0,4,4,3+,3.0,Under Construction,2553.0,0,0,0,1,0,1,65
flat,sobha city,sector 108,2.4,17379.0,2,2,2,14.0,New Property,1249.0,0,0,0,0,0,0,113
flat,alpha corp gurgaonone,sector 84,1.2,9449.0,2,2,1,6.0,Relatively New,1149.0,0,0,0,0,0,0,13
house,independent,sector 56,11.95,43537.0,12,12,3+,4.0,Relatively New,2745.0,0,0,0,1,0,0,21
flat,mm skywalk,sector 74,1.57,11002.0,2,2,3+,10.0,Relatively New,1300.0,1,0,0,0,0,0,137
flat,ashiana anmol,sohna road,0.9,7059.0,2,2,2,8.0,Relatively New,1275.0,0,0,0,0,0,0,0
flat,signature global the millennia,sector 37d,0.45,7627.0,2,3,2,8.0,Relatively New,656.0,0,0,0,0,0,0,8
flat,godrej nature plus,sector 33,1.3,8349.0,3,2,3+,18.0,New Property,1409.0,0,0,0,0,0,0,38
flat,essel tower,sector 28,2.2,12500.0,3,4,3+,3.0,Moderately Old,1956.0,0,0,0,1,0,2,0
flat,paras dews,sector 106,2.1,8917.0,4,6,3+,6.0,Relatively New,2131.0,1,0,0,1,0,0,60
house,independent,sector 43,2.1,38254.0,10,10,3+,5.0,New Property,549.0,0,0,0,1,0,1,20
house,independent,sector 23,5.0,16242.0,4,4,2,2.0,Old Property,3078.0,0,0,0,0,0,1,7
flat,suncity heights,sector 54,3.85,16446.0,3,3,3+,8.0,Old Property,2118.0,0,0,0,1,0,1,67
flat,emaar mgf emerald floors premier,sector 65,2.35,16207.0,3,3,3,2.0,Relatively New,1500.0,0,0,0,1,1,0,64
flat,pareena coban residences,sector 99a,1.56,7812.0,3,5,3,4.0,New Property,1807.0,1,0,0,1,0,1,49
flat,tata primanti,sector 72,3.4,15561.0,3,4,3+,9.0,Moderately Old,2185.0,0,0,0,1,0,1,38
flat,sobha city,sector 108,2.9,14478.0,3,4,2,8.0,New Property,2003.0,0,0,0,0,0,0,109
house,prem kunj,sohna road,0.5,7373.0,5,4,3,3.0,Relatively New,725.0,0,0,1,0,0,0,22
house,international city by sobha phase,sector 109,11.3,25115.0,7,5,3+,4.0,Relatively New,4499.3102,1,0,1,1,1,0,49
flat,essel towers,sector 14,2.2,12500.0,3,4,3+,3.0,Old Property,1956.0,0,0,0,0,0,1,0
flat,mapsko mount ville,sector 79,1.3,8025.0,3,3,2,6.0,Relatively New,1215.0,0,0,1,0,1,1,151
flat,vatika city homes,sector 83,1.05,8571.0,3,3,3,8.0,Moderately Old,1468.0,0,0,1,0,0,0,103
flat,emaar palm gardens,sector 83,1.75,9211.0,3,3,3,6.0,Relatively New,1600.0,0,0,0,1,0,0,150
flat,dlf trinity towers,sector 43,3.8,15510.0,3,3,3+,1.0,Moderately Old,2450.0,0,0,1,1,0,0,68
flat,paras dews,sector 106,1.1,9735.0,3,4,3+,8.0,Relatively New,1186.0,0,0,0,1,0,0,174
flat,dlf the ultima,sector 81,2.35,11233.0,3,4,3+,18.0,Relatively New,1557.0,0,0,0,1,0,0,106
house,sushant lok builder floors,sector 43,13.0,48117.0,3,3,3+,4.0,New Property,2700.0,0,0,1,0,0,0,7
house,ardee city,sector 52,5.5,20370.0,9,9,3+,3.0,Moderately Old,2700.0,1,0,1,1,0,0,26
house,independent,sector 7,0.69,9158.0,1,1,1,2.0,Old Property,758.0,0,0,0,0,0,0,0
flat,vatika gurgaon,sector 83,1.19,7438.0,3,3,2,10.0,Relatively New,1778.0,0,0,0,1,0,0,35
flat,mm soulitude,sector 89,1.14,8000.0,3,3,2,2.0,New Property,1581.0,0,0,0,0,1,0,77
house,rajendra park gurgaon,sector 105,0.37,1142.0,4,3,2,3.0,Relatively New,3240.0,0,0,0,0,0,1,0
flat,mapsko casa bella,sector 82,3.0,6134.0,4,6,3+,25.0,Relatively New,4424.0,0,0,1,1,0,0,119
house,independent,sector 9,3.2,13513.0,3,3,2,1.0,Old Property,2367.0,0,0,0,0,0,0,36
flat,shree vardhman flora,sector 90,0.9,4615.0,3,4,3,4.0,Relatively New,1764.0,0,0,0,1,0,0,165
flat,avl gurgaon,sector 36a,0.45,9000.0,1,1,1,9.0,Relatively New,452.0,0,0,0,0,0,1,0
flat,sarahah tower,sector 12,0.6,8333.0,2,2,1,0.0,New Property,800.0,0,0,1,0,0,2,0
house,independent,sector 26,4.45,33074.0,4,4,3,3.0,Old Property,1345.4875,0,0,0,0,0,1,25
flat,chd avenue,sector 71,1.1,6790.0,3,3,3,11.0,Relatively New,1466.0,1,0,0,0,0,1,72
house,ansal api esencia,sector 67,5.46,24155.0,4,5,3+,2.0,Relatively New,2259.0,0,1,1,0,1,0,103
flat,signature global infinity mall,sector 36,0.41,6269.0,2,2,3,3.0,New Property,654.0,0,0,0,0,0,0,0
house,rattan garden,sector 7,0.83,17525.0,5,3,2,3.0,Old Property,524.0,0,0,0,0,0,0,0
flat,ss the leaf,sector 85,1.08,6585.0,2,2,3,8.0,New Property,1200.0,0,1,1,1,1,0,157
flat,vatika gurgaon,sector 83,1.18,6801.0,3,3,2,14.0,Relatively New,1618.0,0,0,0,0,0,0,26
flat,mm woodshire,sector 107,0.9,5867.0,2,2,3,8.0,Relatively New,1281.0,0,0,0,0,1,0,74
flat,ansal housing highland park,sector 103,0.8,5878.0,2,2,3,3.0,New Property,1089.0,0,0,1,0,0,1,174
flat,tulip violet,sector 69,1.38,8973.0,3,3,1,12.0,Relatively New,1392.0,0,0,0,0,0,1,157
flat,shree vardhman victoria,sector 70,1.65,8462.0,3,4,3,12.0,Relatively New,1764.0,0,1,0,1,0,1,56
flat,godrej aria,sector 79,1.45,9062.0,2,2,3+,9.0,Relatively New,1494.0,0,0,0,0,1,0,113
flat,the close north,sector 50,2.92,11209.0,3,3,3,10.0,Moderately Old,2600.0,0,0,0,1,0,0,174
house,independent,sector 105,1.15,3287.0,3,2,1,1.0,Moderately Old,3889.0,0,0,0,0,0,1,0
flat,sobha city,sector 108,2.95,14728.0,3,4,2,12.0,Relatively New,2003.0,0,0,0,0,0,1,49
flat,mm skywalk,sector 74,2.25,12500.0,3,3,3,5.0,Relatively New,1900.0,0,0,0,0,1,0,174
house,shree krishna homes,sector 104,0.48,6038.0,2,2,1,1.0,New Property,795.0,1,0,1,0,1,1,44
flat,greenopolis,sector 37,1.3,6806.0,3,3,3+,1.0,New Property,2122.0,0,0,0,1,0,0,35
house,independent,sector 25,10.0,10526.0,5,5,3+,3.0,Moderately Old,9500.0,0,0,1,1,0,2,29
house,vipul tatvam villa,sector 48,7.25,22377.0,4,4,3,2.0,Relatively New,3240.0,0,1,1,1,1,0,103
house,dlf city plots phase,sector 24,1.6,29729.0,8,5,3+,4.0,Old Property,540.0,0,0,0,0,0,1,8
flat,ss the leaf,sector 85,2.1,7468.0,4,5,3+,9.0,Relatively New,2544.0,0,0,0,0,0,0,67
flat,signature global orchard avenue,sector 93,0.4,7353.0,2,2,2,11.0,New Property,604.0,0,0,0,0,0,1,37
flat,unitech heritage city,sector 14,4.26,13108.0,4,4,0,9.0,Old Property,3250.0,0,0,0,0,0,1,0
flat,dlf new town heights,sector 91,1.8,7679.0,4,4,3+,6.0,Moderately Old,2604.0,0,0,1,1,0,1,81
flat,silverglades the melia,sohna road,0.78,5778.0,2,2,3,9.0,Under Construction,1221.0,0,0,0,0,1,1,72
